anchor_date,actual_trading_date,sector,sector_score,metric,current_value,five_year_average,metric_coefficient,metric_weight,source,comment,status
2026-04-20,2026-04-20,Mining,1.5363,pe,24.2926,20.8176,1.1669,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Mining,1.25,ev_ebitda,10.1114,8.865475,1.1405,0.2941,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Mining,1.25,fcf_yield,0.030449,0.049783,1.635,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Mining,1.25,pb,3.3956,2.6303,1.291,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Mining,1.25,pe,20.0004,20.8176,0.9607,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Mining,1.2692,ev_ebitda,9.7784,8.865475,1.103,0.2941,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Mining,1.2692,fcf_yield,0.028215,0.049783,1.7644,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Mining,1.2692,pb,3.5613,2.6303,1.354,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Mining,1.2692,pe,18.6737,20.8176,0.897,0.2353,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Mining,1.1721,ev_ebitda,9.6621,8.865475,1.0899,0.2941,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_mining_norm_summary.csv; aggregate=median,ok
